Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest,Expiration Date
2015-05-13,V (Oct 2015),18.41,18.45,18.2,18.2,18.225,-0.2,1786,0,15917,2015-10-21
2015-05-14,V (Oct 2015),18.25,18.25,18.1,18.15,18.175,-0.05,2731,0,16561,2015-10-21
2015-05-15,V (Oct 2015),18.12,18.25,18.05,18.1,18.075,-0.1,4352,0,17502,2015-10-21
2015-05-18,V (Oct 2015),18.1,18.1,17.63,17.65,17.675,-0.4,4503,0,17951,2015-10-21
2015-05-19,V (Oct 2015),17.69,17.75,17.45,17.6,17.575,-0.1,4014,0,18287,2015-10-21
2015-05-20,V (Oct 2015),17.56,17.67,17.44,17.6,17.625,0.05,4396,0,17940,2015-10-21
2015-05-21,V (Oct 2015),17.65,17.69,17.3,17.3,17.325,-0.3,3829,0,18162,2015-10-21
2015-05-22,V (Oct 2015),17.3,17.51,17.25,17.5,17.525,0.2,3519,0,18438,2015-10-21
2015-05-26,V (Oct 2015),17.53,17.81,17.39,17.55,17.575,0.05,7127,0,18966,2015-10-21
2015-05-27,V (Oct 2015),17.6,17.65,17.31,17.4,17.425,-0.15,3232,0,19671,2015-10-21
2015-05-28,V (Oct 2015),17.45,17.63,17.4,17.5,17.475,0.05,2937,0,19638,2015-10-21
2015-05-29,V (Oct 2015),17.5,17.73,17.45,17.5,17.525,0.05,5391,0,20418,2015-10-21
2015-06-01,V (Oct 2015),17.55,17.63,17.4,17.46,17.475,-0.05,3667,0,20255,2015-10-21
2015-06-02,V (Oct 2015),17.43,17.75,17.43,17.7,17.725,0.25,5633,0,21055,2015-10-21
2015-06-03,V (Oct 2015),17.72,17.72,17.45,17.45,17.475,-0.25,4093,0,21587,2015-10-21
2015-06-04,V (Oct 2015),17.48,17.9,17.45,17.75,17.775,0.3,5639,0,21828,2015-10-21
2015-06-05,V (Oct 2015),17.75,17.91,17.64,17.75,17.775,0.0,5755,0,21424,2015-10-21
2015-06-08,V (Oct 2015),17.79,18.0,17.73,17.93,17.925,0.15,3392,0,21544,2015-10-21
2015-06-09,V (Oct 2015),17.92,18.02,17.75,17.87,17.875,-0.05,3376,0,21538,2015-10-21
2015-06-10,V (Oct 2015),17.9,17.9,17.4,17.4,17.425,-0.45,5238,0,22104,2015-10-21
2015-06-11,V (Oct 2015),17.42,17.45,17.2,17.25,17.275,-0.15,6318,0,22938,2015-10-21
2015-06-12,V (Oct 2015),17.27,17.5,17.24,17.4,17.425,0.15,11383,0,25183,2015-10-21
2015-06-15,V (Oct 2015),17.35,17.8,17.35,17.75,17.725,0.3,11243,0,26468,2015-10-21
2015-06-16,V (Oct 2015),17.73,17.89,17.45,17.55,17.525,-0.2,10213,0,26742,2015-10-21
2015-06-17,V (Oct 2015),17.54,17.78,17.35,17.54,17.525,0.0,11204,0,27133,2015-10-21
2015-06-18,V (Oct 2015),17.54,17.64,17.1,17.23,17.225,-0.3,9233,0,26869,2015-10-21
2015-06-19,V (Oct 2015),17.2,17.5,17.18,17.5,17.475,0.25,5884,0,27044,2015-10-21
2015-06-22,V (Oct 2015),17.39,17.39,16.85,16.9,16.925,-0.55,5585,0,27036,2015-10-21
2015-06-23,V (Oct 2015),16.94,16.94,16.7,16.7,16.725,-0.2,5996,0,27516,2015-10-21
2015-06-24,V (Oct 2015),16.74,16.95,16.63,16.95,16.925,0.2,4730,0,27048,2015-10-21
2015-06-25,V (Oct 2015),16.95,16.97,16.65,16.95,16.925,0.0,5335,0,27410,2015-10-21
2015-06-26,V (Oct 2015),16.9,16.95,16.65,16.75,16.725,-0.2,8848,0,27619,2015-10-21
2015-06-29,V (Oct 2015),17.0,18.1,16.95,17.93,17.925,1.2,21822,0,28161,2015-10-21
2015-06-30,V (Oct 2015),18.0,18.23,17.25,17.9,17.925,0.0,26137,0,29018,2015-10-21
2015-07-01,V (Oct 2015),17.95,17.95,16.9,16.95,16.925,-1.0,15456,0,28647,2015-10-21
2015-07-02,V (Oct 2015),16.95,17.75,16.87,17.5,17.55,0.625,12844,0,27792,2015-10-21
2015-07-06,V (Oct 2015),18.2,18.75,17.7,17.9,17.9,0.35,14707,0,28761,2015-10-21
2015-07-07,V (Oct 2015),17.85,18.54,17.35,17.41,17.425,-0.475,18029,0,29620,2015-10-21
2015-07-08,V (Oct 2015),17.38,18.45,17.3,18.32,18.325,0.9,16401,0,30162,2015-10-21
2015-07-09,V (Oct 2015),18.32,18.7,17.66,18.69,18.675,0.35,11439,0,29504,2015-10-21
2015-07-10,V (Oct 2015),18.67,18.71,17.65,17.85,17.875,-0.8,17010,0,31373,2015-10-21
2015-07-13,V (Oct 2015),18.11,18.15,16.7,16.7,16.725,-1.15,13195,0,32427,2015-10-21
2015-07-14,V (Oct 2015),16.76,16.95,16.53,16.82,16.825,0.1,11059,0,33205,2015-10-21
2015-07-15,V (Oct 2015),16.8,17.03,16.55,16.6,16.625,-0.2,12130,0,32355,2015-10-21
2015-07-16,V (Oct 2015),16.6,16.64,16.1,16.15,16.175,-0.45,11053,0,33479,2015-10-21
2015-07-17,V (Oct 2015),16.2,16.25,16.03,16.1,16.1,-0.075,8790,0,33675,2015-10-21
2015-07-20,V (Oct 2015),16.1,16.2,15.8,15.9,15.925,-0.175,9435,0,33791,2015-10-21
2015-07-21,V (Oct 2015),15.92,16.2,15.9,16.0,15.975,0.05,9721,0,33623,2015-10-21
2015-07-22,V (Oct 2015),16.0,16.39,16.0,16.1,16.075,0.1,10886,0,34254,2015-10-21
2015-07-23,V (Oct 2015),16.05,16.45,15.97,16.18,16.175,0.1,16740,0,34326,2015-10-21
2015-07-24,V (Oct 2015),16.18,16.64,16.05,16.46,16.475,0.3,14307,0,33203,2015-10-21
2015-07-27,V (Oct 2015),16.45,17.04,16.4,16.75,16.775,0.3,16428,0,32589,2015-10-21
2015-07-28,V (Oct 2015),16.75,16.78,16.05,16.15,16.175,-0.6,15615,0,34863,2015-10-21
2015-07-29,V (Oct 2015),16.15,16.25,15.95,16.15,16.175,0.0,14332,0,36371,2015-10-21
2015-07-30,V (Oct 2015),16.15,16.43,16.05,16.09,16.075,-0.1,9744,0,36409,2015-10-21
2015-07-31,V (Oct 2015),16.1,16.28,15.99,16.1,16.075,0.0,12682,0,36591,2015-10-21
2015-08-03,V (Oct 2015),16.06,16.33,15.8,15.85,15.875,-0.2,14507,0,36441,2015-10-21
2015-08-04,V (Oct 2015),15.85,16.03,15.75,16.0,15.975,0.1,14063,0,37696,2015-10-21
2015-08-05,V (Oct 2015),15.95,16.0,15.6,15.94,15.925,-0.05,18874,0,39652,2015-10-21
2015-08-06,V (Oct 2015),15.95,16.48,15.85,16.1,16.075,0.15,22392,0,37481,2015-10-21
2015-08-07,V (Oct 2015),16.09,16.3,15.89,15.9,15.925,-0.15,17063,0,37457,2015-10-21
2015-08-10,V (Oct 2015),15.95,15.95,15.52,15.7,15.7,-0.225,17397,0,40102,2015-10-21
2015-08-11,V (Oct 2015),15.75,16.35,15.67,16.1,16.125,0.425,19148,0,40735,2015-10-21
2015-08-12,V (Oct 2015),16.1,17.07,15.97,16.0,16.025,-0.1,31458,0,42541,2015-10-21
2015-08-13,V (Oct 2015),16.0,16.23,15.82,15.85,15.875,-0.15,16202,0,44153,2015-10-21
2015-08-14,V (Oct 2015),15.9,16.09,15.8,15.8,15.825,-0.05,16981,0,45823,2015-10-21
2015-08-17,V (Oct 2015),15.81,16.1,15.7,15.75,15.725,-0.1,21971,0,47294,2015-10-21
2015-08-18,V (Oct 2015),15.7,16.08,15.7,16.05,16.025,0.3,25139,0,50668,2015-10-21
2015-08-19,V (Oct 2015),16.0,16.44,15.8,16.3,16.325,0.3,48606,0,55823,2015-10-21
2015-08-20,V (Oct 2015),16.3,17.35,16.18,17.35,17.325,1.0,61388,0,61234,2015-10-21
2015-08-21,V (Oct 2015),17.3,18.65,17.05,18.65,18.625,1.3,122528,1278,65181,2015-10-21
2015-08-24,V (Oct 2015),18.75,23.4,18.7,22.5,22.5,3.875,196912,6312,67852,2015-10-21
2015-08-25,V (Oct 2015),22.5,23.0,19.77,22.6,22.55,0.05,116711,1103,70708,2015-10-21
2015-08-26,V (Oct 2015),22.55,23.3,21.0,21.5,21.475,-1.075,113395,282,73453,2015-10-21
2015-08-27,V (Oct 2015),21.4,22.47,20.2,21.5,21.55,0.075,93332,597,77965,2015-10-21
2015-08-28,V (Oct 2015),21.52,23.37,21.2,21.85,21.875,0.325,84674,3969,85403,2015-10-21
2015-08-31,V (Oct 2015),22.25,23.45,22.1,23.45,23.425,1.55,63730,1688,93689,2015-10-21
2015-09-01,V (Oct 2015),23.4,26.8,23.35,25.85,25.825,2.4,99414,3962,100222,2015-10-21
2015-09-02,V (Oct 2015),25.82,26.15,23.8,23.85,23.875,-1.95,105951,0,110213,2015-10-21
2015-09-03,V (Oct 2015),23.85,24.75,22.7,23.9,23.875,0.0,92119,0,115305,2015-10-21
2015-09-04,V (Oct 2015),23.9,26.1,23.7,25.8,25.775,1.9,86298,452,122882,2015-10-21
2015-09-08,V (Oct 2015),25.65,25.7,23.55,23.6,23.575,-2.2,79430,0,125787,2015-10-21
2015-09-09,V (Oct 2015),23.6,24.25,22.45,24.2,24.225,0.65,87386,60,133092,2015-10-21
2015-09-10,V (Oct 2015),24.2,25.2,23.35,23.4,23.375,-0.85,92829,0,144076,2015-10-21
2015-09-11,V (Oct 2015),23.45,24.1,22.85,22.95,22.925,-0.45,71970,0,153925,2015-10-21
2015-09-14,V (Oct 2015),22.85,23.65,22.5,22.9,22.875,-0.05,69668,0,167367,2015-10-21
2015-09-15,V (Oct 2015),22.9,23.2,20.4,20.45,20.425,-2.45,154407,0,188316,2015-10-21
2015-09-16,V (Oct 2015),20.45,20.62,18.9,19.0,18.975,-1.45,135638,1132,199451,2015-10-21
2015-09-17,V (Oct 2015),19.05,20.55,17.65,20.4,20.425,1.45,198869,0,186365,2015-10-21
2015-09-18,V (Oct 2015),20.4,22.15,19.8,21.5,21.525,1.1,162558,0,176578,2015-10-21
2015-09-21,V (Oct 2015),21.6,22.06,19.65,19.68,19.675,-1.85,114850,0,172383,2015-10-21
2015-09-22,V (Oct 2015),19.75,22.73,19.6,21.75,21.775,2.1,183495,264,158897,2015-10-21
2015-09-23,V (Oct 2015),21.75,22.9,20.85,21.1,21.125,-0.65,91852,0,151282,2015-10-21
2015-09-24,V (Oct 2015),21.1,23.35,20.9,21.9,21.875,0.75,151962,0,140344,2015-10-21
2015-09-25,V (Oct 2015),21.85,22.85,20.44,22.35,22.325,0.45,115757,0,132325,2015-10-21
2015-09-28,V (Oct 2015),22.3,24.69,21.8,24.05,24.075,1.75,141692,129,129141,2015-10-21
2015-09-29,V (Oct 2015),24.1,24.7,23.0,23.85,23.875,-0.2,110160,0,123788,2015-10-21
2015-09-30,V (Oct 2015),23.88,24.01,22.5,23.02,23.025,-0.85,87421,0,116487,2015-10-21
2015-10-01,V (Oct 2015),22.95,23.67,21.9,22.2,22.225,-0.8,98942,0,111998,2015-10-21
2015-10-02,V (Oct 2015),22.2,23.74,21.0,21.05,21.075,-1.15,109159,0,109475,2015-10-21
2015-10-05,V (Oct 2015),21.15,21.46,19.7,19.9,19.875,-1.2,80467,0,110637,2015-10-21
2015-10-06,V (Oct 2015),19.88,20.52,19.5,20.3,20.325,0.45,67852,420,108277,2015-10-21
2015-10-07,V (Oct 2015),20.4,20.6,19.35,19.45,19.475,-0.85,74045,0,104198,2015-10-21
2015-10-08,V (Oct 2015),19.5,20.15,18.1,18.45,18.425,-1.05,82021,0,99852,2015-10-21
2015-10-09,V (Oct 2015),18.4,19.03,18.05,18.15,18.175,-0.25,69230,0,95348,2015-10-21
2015-10-12,V (Oct 2015),18.2,18.45,16.7,16.7,16.725,-1.45,68053,0,92884,2015-10-21
2015-10-13,V (Oct 2015),16.7,18.3,16.6,18.28,18.275,1.55,85752,55,76040,2015-10-21
2015-10-14,V (Oct 2015),18.3,18.95,17.7,18.32,18.325,0.05,74036,0,68449,2015-10-21
2015-10-15,V (Oct 2015),18.25,18.3,16.55,16.55,16.575,-1.75,68388,0,63880,2015-10-21
2015-10-16,V (Oct 2015),16.6,17.07,16.05,16.1,16.1,-0.475,64367,206,52972,2015-10-21
2015-10-19,V (Oct 2015),16.15,16.6,15.23,15.25,15.275,-0.825,64003,0,40554,2015-10-21
2015-10-20,V (Oct 2015),15.25,16.15,15.15,16.1,16.075,0.8,52310,0,31440,2015-10-21
2015-10-21,V (Oct 2015),16.05,16.12,15.25,15.5,14.91,-1.165,2035,0,29450,2015-10-21
