Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest,Expiration Date
2015-10-23,M (Jun 2016),19.3,19.55,19.25,19.55,19.525,0.1,36,0,92,2016-06-15
2015-10-26,M (Jun 2016),19.6,19.95,19.6,19.91,19.925,0.4,19,0,93,2016-06-15
2015-10-27,M (Jun 2016),20.0,20.1,19.65,19.65,19.575,-0.35,231,0,182,2016-06-15
2015-10-28,M (Jun 2016),19.65,19.9,19.35,19.35,19.325,-0.25,94,0,173,2016-06-15
2015-10-29,M (Jun 2016),19.3,19.6,19.25,19.45,19.45,0.125,100,0,176,2016-06-15
2015-10-30,M (Jun 2016),19.4,19.65,19.35,19.55,19.65,0.2,169,0,249,2016-06-15
2015-11-02,M (Jun 2016),19.7,19.74,19.03,19.03,19.2,-0.45,172,0,323,2016-06-15
2015-11-03,M (Jun 2016),19.09,19.34,19.09,19.34,19.3,0.1,237,0,433,2016-06-15
2015-11-04,M (Jun 2016),19.3,19.6,19.2,19.55,19.525,0.225,466,0,640,2016-06-15
2015-11-05,M (Jun 2016),19.45,19.6,19.35,19.37,19.35,-0.175,271,0,667,2016-06-15
2015-11-06,M (Jun 2016),19.45,19.52,19.2,19.2,19.2,-0.15,230,0,672,2016-06-15
2015-11-09,M (Jun 2016),19.25,19.66,19.25,19.5,19.5,0.3,391,0,716,2016-06-15
2015-11-10,M (Jun 2016),19.6,19.65,19.35,19.35,19.375,-0.125,184,0,731,2016-06-15
2015-11-11,M (Jun 2016),19.38,19.6,19.25,19.6,19.6,0.225,280,0,911,2016-06-15
2015-11-12,M (Jun 2016),19.55,20.4,19.55,20.35,20.375,0.775,685,0,1490,2016-06-15
2015-11-13,M (Jun 2016),20.34,21.02,20.33,20.95,20.975,0.6,759,0,2049,2016-06-15
2015-11-16,M (Jun 2016),21.21,21.21,19.85,19.85,19.85,-1.125,465,0,1709,2016-06-15
2015-11-17,M (Jun 2016),19.8,20.55,19.6,20.44,20.275,0.425,1366,0,1602,2016-06-15
2015-11-18,M (Jun 2016),20.35,20.35,19.68,19.85,19.85,-0.425,826,0,1961,2016-06-15
2015-11-19,M (Jun 2016),19.9,20.25,19.67,20.2,20.225,0.375,2122,0,2385,2016-06-15
2015-11-20,M (Jun 2016),20.12,20.15,19.85,20.01,20.025,-0.2,823,0,2577,2016-06-15
2015-11-23,M (Jun 2016),20.1,20.15,19.67,19.75,19.725,-0.3,1025,0,2935,2016-06-15
2015-11-24,M (Jun 2016),19.7,20.13,19.7,20.1,20.075,0.35,1071,0,3293,2016-06-15
2015-11-25,M (Jun 2016),20.15,20.15,19.83,19.9,19.925,-0.15,1496,0,3897,2016-06-15
2015-11-27,M (Jun 2016),19.85,20.0,19.72,20.0,20.025,0.1,435,0,4072,2016-06-15
2015-11-30,M (Jun 2016),19.96,20.0,19.72,19.75,19.725,-0.3,1284,0,4057,2016-06-15
2015-12-01,M (Jun 2016),19.7,19.7,19.25,19.35,19.325,-0.4,1057,0,4406,2016-06-15
2015-12-02,M (Jun 2016),19.25,19.7,19.13,19.56,19.575,0.25,1781,0,5044,2016-06-15
2015-12-03,M (Jun 2016),19.5,20.25,19.35,20.1,20.05,0.475,1760,0,4767,2016-06-15
2015-12-04,M (Jun 2016),20.0,20.05,19.35,19.4,19.4,-0.65,2225,0,5377,2016-06-15
2015-12-07,M (Jun 2016),19.35,20.04,19.3,19.45,19.45,0.05,1406,0,5445,2016-06-15
2015-12-08,M (Jun 2016),19.55,20.08,19.45,19.9,19.925,0.475,1651,0,5681,2016-06-15
2015-12-09,M (Jun 2016),19.83,20.51,19.7,20.2,20.175,0.25,2231,0,5975,2016-06-15
2015-12-10,M (Jun 2016),20.1,20.4,19.85,20.4,20.425,0.25,1900,0,6380,2016-06-15
2015-12-11,M (Jun 2016),20.45,21.75,20.3,21.72,21.725,1.3,4917,0,7003,2016-06-15
2015-12-14,M (Jun 2016),21.63,22.0,20.62,21.0,20.975,-0.75,4339,0,7138,2016-06-15
2015-12-15,M (Jun 2016),20.94,20.98,20.05,20.1,20.075,-0.9,2142,0,7299,2016-06-15
2015-12-16,M (Jun 2016),20.1,20.2,19.45,19.75,19.775,-0.3,3352,0,7609,2016-06-15
2015-12-17,M (Jun 2016),19.8,20.45,19.55,20.45,20.45,0.675,2267,0,7772,2016-06-15
2015-12-18,M (Jun 2016),20.45,21.15,20.25,21.15,21.125,0.675,2095,0,7825,2016-06-15
2015-12-21,M (Jun 2016),20.95,21.05,20.3,20.33,20.35,-0.775,1916,0,8203,2016-06-15
2015-12-22,M (Jun 2016),20.29,20.5,19.75,19.77,19.775,-0.575,2536,0,8389,2016-06-15
2015-12-23,M (Jun 2016),19.83,19.9,19.58,19.85,19.8,0.025,1909,0,8502,2016-06-15
2015-12-24,M (Jun 2016),19.85,19.9,19.72,19.9,19.925,0.125,847,0,8853,2016-06-15
2015-12-28,M (Jun 2016),19.8,20.15,19.4,19.4,19.425,-0.5,1922,0,8714,2016-06-15
2015-12-29,M (Jun 2016),19.48,19.5,19.2,19.25,19.225,-0.2,1849,0,8829,2016-06-15
2015-12-30,M (Jun 2016),19.26,19.73,19.25,19.7,19.725,0.5,1181,0,8712,2016-06-15
2015-12-31,M (Jun 2016),19.65,19.85,19.54,19.8,19.75,0.025,1864,0,8954,2016-06-15
2016-01-04,M (Jun 2016),19.8,20.77,19.6,20.07,20.1,0.35,4139,0,8707,2016-06-15
2016-01-05,M (Jun 2016),20.02,20.45,19.77,19.83,19.85,-0.25,2368,0,8701,2016-06-15
2016-01-06,M (Jun 2016),19.82,20.66,19.78,20.15,20.125,0.275,2557,0,8519,2016-06-15
2016-01-07,M (Jun 2016),20.15,21.29,20.07,21.1,21.125,1.0,5111,0,8437,2016-06-15
2016-01-08,M (Jun 2016),21.0,21.98,20.43,21.98,21.975,0.85,3939,0,8742,2016-06-15
2016-01-11,M (Jun 2016),22.0,22.68,21.4,21.75,21.775,-0.2,7492,0,9831,2016-06-15
2016-01-12,M (Jun 2016),21.71,22.08,20.97,21.0,20.975,-0.8,4355,0,9714,2016-06-15
2016-01-13,M (Jun 2016),20.95,22.4,20.63,22.3,22.275,1.3,6063,0,10895,2016-06-15
2016-01-14,M (Jun 2016),22.29,22.57,21.34,21.8,21.825,-0.45,5465,0,11226,2016-06-15
2016-01-15,M (Jun 2016),21.85,23.3,21.7,23.02,23.025,1.2,7488,0,12157,2016-06-15
2016-01-19,M (Jun 2016),23.25,23.61,22.1,22.86,22.825,-0.2,7720,0,12589,2016-06-15
2016-01-20,M (Jun 2016),22.85,24.4,22.76,23.18,23.175,0.35,9475,0,14549,2016-06-15
2016-01-21,M (Jun 2016),23.2,23.66,22.75,23.25,23.225,0.05,4718,0,14275,2016-06-15
2016-01-22,M (Jun 2016),23.17,23.23,21.9,21.95,21.925,-1.3,5518,0,14396,2016-06-15
2016-01-25,M (Jun 2016),21.9,22.6,21.67,22.57,22.575,0.65,4090,0,14634,2016-06-15
2016-01-26,M (Jun 2016),22.55,22.97,21.9,21.93,21.95,-0.625,3552,0,14533,2016-06-15
2016-01-27,M (Jun 2016),21.97,22.57,21.65,22.44,22.45,0.5,4997,0,14993,2016-06-15
2016-01-28,M (Jun 2016),22.4,22.6,21.9,22.12,22.125,-0.325,3731,0,15394,2016-06-15
2016-01-29,M (Jun 2016),22.15,22.16,21.29,21.4,21.325,-0.8,4695,0,15548,2016-06-15
2016-02-01,M (Jun 2016),21.27,21.58,21.11,21.18,21.175,-0.15,3144,0,15713,2016-06-15
2016-02-02,M (Jun 2016),21.2,22.2,20.5,21.97,21.975,0.8,4441,0,16073,2016-06-15
2016-02-03,M (Jun 2016),21.95,22.65,21.75,21.87,21.875,-0.1,5126,0,16091,2016-06-15
2016-02-04,M (Jun 2016),21.9,22.35,21.6,22.17,22.175,0.3,4366,0,16264,2016-06-15
2016-02-05,M (Jun 2016),22.15,22.96,22.02,22.57,22.6,0.425,4853,0,16552,2016-06-15
2016-02-08,M (Jun 2016),22.79,23.84,22.6,23.06,23.05,0.45,5462,0,16651,2016-06-15
2016-02-09,M (Jun 2016),23.0,23.86,22.95,23.45,23.475,0.425,6131,0,16720,2016-06-15
2016-02-10,M (Jun 2016),23.4,23.62,22.9,23.48,23.475,0.0,5263,0,17256,2016-06-15
2016-02-11,M (Jun 2016),23.5,25.13,23.5,24.49,24.475,1.0,10644,0,17782,2016-06-15
2016-02-12,M (Jun 2016),24.45,24.67,24.0,24.36,24.375,-0.1,5571,0,18449,2016-06-15
2016-02-16,M (Jun 2016),24.05,24.1,23.49,23.7,23.675,-0.7,7786,0,17784,2016-06-15
2016-02-17,M (Jun 2016),23.7,23.95,22.88,23.05,23.075,-0.6,7796,0,16385,2016-06-15
2016-02-18,M (Jun 2016),23.03,23.35,22.85,23.2,23.175,0.1,7495,0,16940,2016-06-15
2016-02-19,M (Jun 2016),23.25,23.6,22.75,22.85,22.875,-0.3,6342,0,16618,2016-06-15
2016-02-22,M (Jun 2016),22.9,22.95,22.0,22.03,22.025,-0.85,5979,0,16828,2016-06-15
2016-02-23,M (Jun 2016),22.1,22.75,22.0,22.69,22.675,0.65,6921,0,16645,2016-06-15
2016-02-24,M (Jun 2016),22.65,23.32,22.35,22.45,22.425,-0.25,11798,0,18126,2016-06-15
2016-02-25,M (Jun 2016),22.43,22.68,21.95,21.95,21.975,-0.45,5216,0,17857,2016-06-15
2016-02-26,M (Jun 2016),21.99,22.45,21.61,22.25,22.275,0.3,6767,0,17972,2016-06-15
2016-02-29,M (Jun 2016),22.22,22.65,21.94,22.55,22.575,0.3,5240,0,18286,2016-06-15
2016-03-01,M (Jun 2016),22.55,22.75,21.18,21.19,21.175,-1.4,7953,0,18006,2016-06-15
2016-03-02,M (Jun 2016),21.2,21.5,21.0,21.05,21.075,-0.1,6332,0,18068,2016-06-15
2016-03-03,M (Jun 2016),21.1,21.23,20.45,20.45,20.475,-0.6,5141,0,18287,2016-06-15
2016-03-04,M (Jun 2016),20.47,20.9,20.19,20.9,20.875,0.4,6175,0,18909,2016-06-15
2016-03-07,M (Jun 2016),20.8,21.1,20.5,20.65,20.675,-0.2,4810,0,19228,2016-06-15
2016-03-08,M (Jun 2016),20.7,21.35,20.65,21.3,21.325,0.65,7010,0,19582,2016-06-15
2016-03-09,M (Jun 2016),21.3,21.45,20.95,20.95,20.975,-0.35,4624,0,19555,2016-06-15
2016-03-10,M (Jun 2016),20.98,21.51,20.48,20.85,20.825,-0.15,9277,0,19689,2016-06-15
2016-03-11,M (Jun 2016),20.83,20.85,20.2,20.25,20.275,-0.55,9638,0,20185,2016-06-15
2016-03-14,M (Jun 2016),20.3,20.42,19.8,19.95,19.975,-0.3,6724,0,20479,2016-06-15
2016-03-15,M (Jun 2016),19.98,20.45,19.95,20.33,20.325,0.35,10914,0,21676,2016-06-15
2016-03-16,M (Jun 2016),20.25,20.65,19.63,19.8,19.825,-0.5,15565,0,21923,2016-06-15
2016-03-17,M (Jun 2016),19.85,20.15,19.33,19.5,19.525,-0.3,14536,0,23129,2016-06-15
2016-03-18,M (Jun 2016),19.5,19.7,19.22,19.58,19.575,0.05,10094,0,22646,2016-06-15
2016-03-21,M (Jun 2016),19.55,19.69,19.1,19.17,19.175,-0.4,8391,0,21752,2016-06-15
2016-03-22,M (Jun 2016),19.15,19.47,19.07,19.17,19.175,0.0,11557,0,23174,2016-06-15
2016-03-23,M (Jun 2016),19.16,19.9,19.1,19.9,19.875,0.7,10224,0,23584,2016-06-15
2016-03-24,M (Jun 2016),19.84,20.43,19.79,19.82,19.825,-0.05,12427,0,23749,2016-06-15
2016-03-28,M (Jun 2016),19.77,19.99,19.45,19.59,19.575,-0.25,8845,0,23198,2016-06-15
2016-03-29,M (Jun 2016),19.57,19.8,18.68,18.75,18.725,-0.85,14759,0,25666,2016-06-15
2016-03-30,M (Jun 2016),18.75,18.77,18.2,18.39,18.375,-0.35,19218,0,27739,2016-06-15
2016-03-31,M (Jun 2016),18.4,18.65,18.23,18.43,18.425,0.05,14584,0,27791,2016-06-15
2016-04-01,M (Jun 2016),18.45,18.97,18.0,18.04,18.025,-0.4,17771,0,29113,2016-06-15
2016-04-04,M (Jun 2016),18.15,18.45,17.85,18.4,18.425,0.4,15287,0,31179,2016-06-15
2016-04-05,M (Jun 2016),18.42,19.29,18.37,19.13,19.125,0.7,22050,0,33483,2016-06-15
2016-04-06,M (Jun 2016),19.13,19.32,18.3,18.34,18.325,-0.8,21216,0,35158,2016-06-15
2016-04-07,M (Jun 2016),18.33,19.92,18.26,19.58,19.575,1.25,23193,0,34838,2016-06-15
2016-04-08,M (Jun 2016),19.58,19.62,18.95,19.33,19.325,-0.25,20475,0,36500,2016-06-15
2016-04-11,M (Jun 2016),19.32,19.8,18.95,19.8,19.775,0.45,17172,960,36147,2016-06-15
2016-04-12,M (Jun 2016),19.78,20.08,19.08,19.24,19.225,-0.55,26292,1040,40957,2016-06-15
2016-04-13,M (Jun 2016),19.25,19.31,18.6,18.64,18.625,-0.6,24253,1440,41084,2016-06-15
2016-04-14,M (Jun 2016),18.55,18.85,18.35,18.52,18.525,-0.1,20364,800,43998,2016-06-15
2016-04-15,M (Jun 2016),18.55,18.79,18.44,18.47,18.475,-0.05,32270,0,50983,2016-06-15
2016-04-18,M (Jun 2016),18.7,18.99,17.35,17.5,17.525,-0.95,48299,0,59223,2016-06-15
2016-04-19,M (Jun 2016),17.55,17.96,17.2,17.67,17.675,0.15,35720,0,63032,2016-06-15
2016-04-20,M (Jun 2016),17.7,18.0,17.38,17.9,17.925,0.25,50065,0,71090,2016-06-15
2016-04-21,M (Jun 2016),17.95,18.5,17.72,18.45,18.475,0.55,55525,0,79106,2016-06-15
2016-04-22,M (Jun 2016),18.45,18.55,17.95,18.0,18.025,-0.45,49146,0,86200,2016-06-15
2016-04-25,M (Jun 2016),17.95,18.52,17.88,18.15,18.175,0.15,51434,800,94559,2016-06-15
2016-04-26,M (Jun 2016),18.2,18.25,17.85,18.0,18.025,-0.15,51406,432,105771,2016-06-15
2016-04-27,M (Jun 2016),17.95,18.3,17.5,17.6,17.625,-0.4,58520,0,110933,2016-06-15
2016-04-28,M (Jun 2016),17.6,18.55,17.4,18.47,18.475,0.85,76080,0,122606,2016-06-15
2016-04-29,M (Jun 2016),18.4,19.72,18.3,18.95,18.975,0.5,97253,0,128598,2016-06-15
2016-05-02,M (Jun 2016),19.0,19.31,18.1,18.16,18.175,-0.8,71424,0,137751,2016-06-15
2016-05-03,M (Jun 2016),18.18,19.2,18.13,18.93,18.925,0.75,76501,0,145990,2016-06-15
2016-05-04,M (Jun 2016),18.93,19.6,18.85,19.05,19.075,0.15,67276,0,154190,2016-06-15
2016-05-05,M (Jun 2016),19.1,19.45,18.62,19.05,19.075,0.0,56412,0,161927,2016-06-15
2016-05-06,M (Jun 2016),19.08,19.5,18.3,18.32,18.325,-0.75,72062,0,177377,2016-06-15
2016-05-09,M (Jun 2016),18.3,18.44,17.65,18.0,18.025,-0.3,86790,883,192826,2016-06-15
2016-05-10,M (Jun 2016),18.05,18.18,17.05,17.15,17.125,-0.9,112391,1575,211296,2016-06-15
2016-05-11,M (Jun 2016),17.15,18.0,16.95,17.96,17.975,0.85,110181,2600,233130,2016-06-15
2016-05-12,M (Jun 2016),17.95,18.25,17.2,17.48,17.475,-0.5,98032,0,248705,2016-06-15
2016-05-13,M (Jun 2016),17.5,18.23,17.15,18.07,18.075,0.6,110907,0,263276,2016-06-15
2016-05-16,M (Jun 2016),18.05,18.35,17.05,17.4,17.425,-0.65,109136,0,277868,2016-06-15
2016-05-17,M (Jun 2016),17.4,18.35,17.13,18.0,18.0,0.575,137139,0,287578,2016-06-15
2016-05-18,M (Jun 2016),17.95,18.45,17.4,18.1,18.075,0.075,141409,0,276984,2016-06-15
2016-05-19,M (Jun 2016),18.1,19.1,17.95,18.0,17.975,-0.1,132102,0,260898,2016-06-15
2016-05-20,M (Jun 2016),18.0,18.05,17.25,17.35,17.325,-0.65,113790,0,253226,2016-06-15
2016-05-23,M (Jun 2016),17.35,17.65,17.1,17.6,17.575,0.25,85751,0,250791,2016-06-15
2016-05-24,M (Jun 2016),17.55,17.69,16.35,16.5,16.475,-1.1,117003,0,243169,2016-06-15
2016-05-25,M (Jun 2016),16.5,16.61,15.9,16.2,16.175,-0.3,108492,0,235100,2016-06-15
2016-05-26,M (Jun 2016),16.2,16.43,15.75,15.85,15.825,-0.35,79713,574,235101,2016-06-15
2016-05-27,M (Jun 2016),15.85,15.97,15.35,15.4,15.375,-0.45,81273,0,224063,2016-06-15
2016-05-31,M (Jun 2016),15.4,16.0,15.1,15.3,15.275,-0.1,109089,0,213056,2016-06-15
2016-06-01,M (Jun 2016),15.3,16.05,15.15,15.3,15.275,0.0,98537,0,205688,2016-06-15
2016-06-02,M (Jun 2016),15.3,15.77,14.75,14.85,14.825,-0.45,102307,300,197732,2016-06-15
2016-06-03,M (Jun 2016),14.9,15.7,14.6,14.75,14.725,-0.1,112331,0,186327,2016-06-15
2016-06-06,M (Jun 2016),14.8,15.0,14.35,14.5,14.475,-0.25,81980,0,178654,2016-06-15
2016-06-07,M (Jun 2016),14.5,14.85,14.0,14.75,14.725,0.25,100360,0,154923,2016-06-15
2016-06-08,M (Jun 2016),14.75,15.1,14.55,15.0,14.975,0.25,109921,0,129751,2016-06-15
2016-06-09,M (Jun 2016),14.95,15.8,14.93,15.49,15.475,0.5,104005,0,106857,2016-06-15
2016-06-10,M (Jun 2016),15.45,17.85,15.44,17.5,17.525,2.05,157334,0,83598,2016-06-15
2016-06-13,M (Jun 2016),17.75,21.5,17.7,21.35,21.325,3.8,200927,0,61968,2016-06-15
2016-06-14,M (Jun 2016),21.35,22.15,20.02,20.55,20.575,-0.75,150679,71,43650,2016-06-15
2016-06-15,M (Jun 2016),20.55,20.9,19.65,19.9,20.44,-0.135,1866,0,38923,2016-06-15
