Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest,Expiration Date
2020-04-20,F (Jan 2021),0.0,28.05,30.95,0.0,29.525,0.0,0,0,0,2021-01-20
2020-04-21,F (Jan 2021),0.0,28.0,32.0,0.0,30.0,0.475,0,0,0,2021-01-20
2020-04-22,F (Jan 2021),0.0,25.25,34.9,0.0,30.225,0.225,0,0,0,2021-01-20
2020-04-23,F (Jan 2021),0.0,25.6,35.2,0.0,30.225,0.0,0,0,0,2021-01-20
2020-04-24,F (Jan 2021),0.0,25.25,35.2,0.0,30.175,-0.05,0,0,0,2021-01-20
2020-04-27,F (Jan 2021),0.0,25.25,35.2,0.0,30.175,0.0,0,0,0,2021-01-20
2020-04-28,F (Jan 2021),0.0,25.25,30.0,0.0,30.2,0.025,0,0,0,2021-01-20
2020-04-29,F (Jan 2021),28.1,28.1,28.1,28.1,31.2,1.0,1,0,1,2021-01-20
2020-04-30,F (Jan 2021),0.0,25.25,31.2,0.0,28.25,-2.95,0,0,1,2021-01-20
2020-05-01,F (Jan 2021),0.0,25.4,35.15,0.0,30.25,2.0,0,0,1,2021-01-20
2020-05-04,F (Jan 2021),32.5,32.5,30.1,30.1,30.05,-0.2,2,0,3,2021-01-20
2020-05-05,F (Jan 2021),0.0,25.25,34.75,0.0,30.025,-0.025,0,0,3,2021-01-20
2020-05-06,F (Jan 2021),0.0,25.3,32.0,0.0,28.575,-1.45,0,0,3,2021-01-20
2020-05-07,F (Jan 2021),0.0,25.3,32.25,0.0,28.725,0.15,0,0,3,2021-01-20
2020-05-08,F (Jan 2021),0.0,16.9,30.0,0.0,27.9,-0.825,0,0,3,2021-01-20
2020-05-11,F (Jan 2021),0.0,27.35,28.45,0.0,26.85,-1.05,0,0,3,2021-01-20
2020-05-12,F (Jan 2021),0.0,22.3,28.25,0.0,27.175,0.325,0,0,3,2021-01-20
2020-05-13,F (Jan 2021),0.0,27.5,32.5,0.0,29.65,2.475,0,0,3,2021-01-20
2020-05-14,F (Jan 2021),0.0,30.0,31.0,0.0,30.75,1.1,0,0,3,2021-01-20
2020-05-15,F (Jan 2021),0.0,22.6,35.7,0.0,29.125,-1.625,0,0,3,2021-01-20
2020-05-18,F (Jan 2021),29.05,30.2,28.95,29.0,28.875,-0.25,3,0,6,2021-01-20
2020-05-19,F (Jan 2021),29.25,29.75,28.8,29.45,29.85,0.975,15,0,13,2021-01-20
2020-05-20,F (Jan 2021),29.23,29.75,28.77,28.85,28.925,-0.925,59,0,58,2021-01-20
2020-05-21,F (Jan 2021),29.12,29.5,28.9,29.5,29.55,0.625,30,0,70,2021-01-20
2020-05-22,F (Jan 2021),30.0,30.0,29.05,29.22,29.15,-0.4,35,0,81,2021-01-20
2020-05-26,F (Jan 2021),28.75,29.1,28.4,28.75,28.75,-0.4,76,0,123,2021-01-20
2020-05-27,F (Jan 2021),28.6,29.2,28.45,28.45,28.45,-0.3,133,0,203,2021-01-20
2020-05-28,F (Jan 2021),28.49,28.92,28.34,28.8,28.75,0.3,47,0,226,2021-01-20
